x,ell,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.1,32,-0.13938748101398060951654555462603715689649616406014337662291570197883795883751655978906334226213092829236540394,-0.13938748101398063,-0.11172277701743302,2.021278634022443762539157832934805974837708429802116204116248344021093665773786907170763459606E-17,1.4501149022269143815846536290141122586647733731329396276755399929811600706049730889785758738743350480760639361E-16,0.02766470399654758693268673975701935099234615490486993912291570197883795883751655978906334226213092829236540394,0.19847337648474189842503308080019010369006620887685273003004346184971486696366508752087252504629335237127833784
0.1,33,-0.029400755627814617949933702344915187336059856209368289503381242698761923218770654863948353309018478198716378912,-0.029400755627814627,-0.56366958373094778,9.363276436136820879415122223105817257371618757301238076781229345136051646690981521801283621088E-18,3.1847060513229403768711876956350807002951960229096858896356592289864679530558218591523868670755655498417842806E-16,0.53426882810313315839555420722123020293608064672031921049661875730123807678122934513605164669098152180128362109,18.171942070689078898741307912608808205073215988555008691107109573775061658873749511403974915545429818703380147
0.1,34,0.12949417090455888688479238900919118811697622959672906981539588761597628790608383756706316973245759031974299630,0.12949417090455889,-0.0026392520418252888,4.90333515024821134368567803676069280518460411238402371209391616243293683026754240968025700370E-18,3.7865296298642796600206022089926531596797253576990844699626848825545174465196729166043701219927642276008106366E-17,0.13213342294638417569432134889717564426218083326875665770602088761597628790608383756706316973245759031974299630,1.0203812420542890477893463423833178272884912742842391570322069198686854786758570084925742438014809579763737149
0.1,35,0.054089584873918669118679751086747643369711986047939206444422637087177141388952662846017672538812387235319162082,0.054089584873918684,0.54704442879324666,1.4408769751348299536090813526647373293555577362912822858611047337153982327461187612764680837918E-17,2.6638713876127436586505918857014812532155139897393086454346891528930270543914491294890961219384751319266432904E-16,0.49295484391932799292742164066527001855941856815127954355557736291282285861104733715398232746118761276468083792,9.1136740107803034803299394691978803379679798436083924258249037384382935877114427457565412788242419237042578512
0.1,36,-0.11522944247374273477281950339232022894184971287095339681355403470009377214753605768735319665150158586521364770,-0.11522944247374274,0.11045525738599823,6.07612146519756609553832625911390988443644596529990622785246394231264680334849841413478635230E-18,5.2730633202379056178548839243041860127987587262894191280153217992996159748456921690777618332407759361242118823E-17,0.22568469985974096928229163016651907024543667270982058431355403470009377214753605768735319665150158586521364770,1.9585680101781939020577281528237037398895780844458154959641503989358988147561181500998348376245069693380760155
0.1,37,-0.075362161770794436114366119451866195047118158866960496115904048222838954069560930125480222017689989974469811318,-0.075362161770794453,-0.51046692047673226,1.6882991262721638252517364530036848097634095951777161045930439069874519777982310010025530188682E-17,2.2402477405132515854976491217826194295758318031484991355791669205591036208788220158583429470684702868952226327E-16,0.43510475870593781933731340132276649728991797394553950388409595177716104593043906987451977798231001002553018868,5.7735174851971490697877379723533551555654588954172731086438542917765064685921561857328469352048308917654071871
0.1,38,0.097322977848619022610919852671869076900538515679563833576147362421363298079186605035835554179004898897216180703,0.097322977848619027,-0.20829859018045863,4.619272704781978180519882130987916635173852637578636701920813394964164445820995101102783819297E-18,4.7463330930615620978406906510080376379671092557733069609933597325474744751713209282291891343820696541938110451E-17,0.30562156802907764856428344657972126837855250798913414607614736242136329807918660503583555417900489889721618070,3.1402817174835788957671113862532509033869518081886124613845144573624724465461502898060333149707924076167227930
0.1,39,0.092644848121142439009966367902075761905972388846572553445008861445552038550936442769074916021134441490558824085,0.092644848121142445,0.45625240599298184,6.153156745714090175949867340462509477804991138554447961449063557230925083978865558509441175915E-18,6.6416609995066536785443230874221753098752679826003295515477191974069074871709611121332686755905258550508287219E-17,0.36360755787183939640424644216270662660234746588975557155499113855444796144906355723092508397886555850944117592,3.9247466561377057252391949700803295787285550770668077063567781275053277983938808254675929854563188987207348961
0.1,40,-0.076592545898477913511442748301849216554759739924380360788399748505524757474471978913394608029360979541170817011,-0.076592545898477915,0.2932009756095611,1.544747819764236472215057612370541514211600251494475242525528021086605391970639020458829182989E-18,2.0168383249876206241314385913082656009467284614975397933288318224336156433609193876376302390501479010426948794E-17,0.36979352150803901212296460488468918982565283684820848578839974850552475747447197891339460802936097954117081701,4.8280614930621824295238383500481571611572585831738190554668509214006264922606934041710285556141715051308085843
0.1,41,-0.10551691577130167614344641841695412377075794077434752364736053071865669063864578120576942732208547594525534354,-0.10551691577130168,-0.38719922773858129,1.95183774159135062863870021962604310135263946928134330936135421879423057267791452405474465646E-18,1.8497865743363666154434727815562804511015276992935319590325349160366732127434785337563006910002942055178711401E-17,0.28168231196727961025201197336331241449160930776080872635263946928134330936135421879423057267791452405474465646,2.6695464884303519410402590845857894320167586325438597482123254369712537882249833329114452182771700917227985982
